IssueDate,StartDate,EndDate,certificateNumber,fee,NPOName,LocName,LicenseClass,SubClass,Description,AddrStreet,AddrZip
06/19/2015,06/21/2015,06/22/2015,63868,$50.00,MAP/PIER 6,Concert,LS,BWL,"Beer, Wine, & Liquor",731 Eastern Ave,21202
06/19/2015,06/20/2015,06/21/2015,63867,$50.00,MAP/PIER 6,Concert,LS,BWL,"Beer, Wine, & Liquor",731 Eastern Ave,21202
07/06/2015,07/12/2015,07/13/2015,63888,$50.00,"WEST INDIAN DANCE AND CULTURAL ASSOCIATION OF MARYLAND, INC.",Fundraiser,LS,BWL,"Beer, Wine, & Liquor",2409 W. North Ave ,21216
07/09/2015,07/11/2015,07/13/2015,63894,$100.00,"CARIBBEAN AMERICAN CARNIVAL ASSOCIATION OF BALTIMORE, INC.",Caribbean Festival,LS,BWL,"Beer, Wine, & Liquor",2801 Harford Rd,21218
07/09/2015,08/08/2015,08/09/2015,63895,$25.00,"Pan in the Community, Inc.",Carnival,WS,BW,Beer & Wines,3220 THE ALAMEDA,21218
07/10/2015,07/12/2015,07/13/2015,63896,$50.00,"THE T.I.M.E. ORGANIZATION, INC.",Fundraiser,LS,BWL,"Beer, Wine, & Liquor",1415 KEY HWY,21201
06/22/2015,06/26/2015,06/27/2015,63872,$25.00," NOTRE DAME OF MARYLAND UNIVERSITY, INC.",Reception Retreat,WS,BW,Beer & Wines,4701  N. CHARLES STREET,21210
07/10/2015,07/18/2015,07/19/2015,63897,$25.00,LIVING CLASSROOMS FOUNDATION,Chili Cook-off,WS,BW,Beer & Wines,1417  THAMES ST.,21231
07/24/2015,07/25/2015,07/26/2015,63927,$25.00,"DOWNTOWN PARTNERSHIP OF BALTIMORE, INC.",OUTDOOR MOVIE AND PICNIC,WS,BW,Beer & Wines,120 W. FAYETTE AVE ,21201
07/27/2015,08/01/2015,08/02/2015,63928,$25.00,LIVING CLASSROOMS FOUNDATION,Fundraiser,WS,BW,Beer & Wines,2400 E  Fort Ave,21230
10/14/2015,10/24/2015,10/25/2016,64112,$18350.00,"BREWERS ASSOCIATION OF MARYLAND, INC.",BALTIMORE CRAFT BEER FESTIVAL,BF,B,Beer,See Permit ROW2015-SE1009056,21224
10/22/2015,10/25/2015,10/26/2015,64143,$50.00,"Independent World Television, Inc. ",Baltimore Farmers Market,LS,BWL,"Beer, Wine, & Liquor",400  E. Saratoga St ,21202
10/20/2015,10/24/2015,10/25/2015,64134,$25.00,"BELAIR-EDISON NEIGHBORHOODS, INC.",BEER AND WINE FESTIVAL,WS,BW,Beer & Wines,See Permit ROW2015-SE1006926,21213
10/20/2015,11/12/2015,11/13/2015,64135,$50.00,"BALTIMORE CONSERVATORY ASSOCIATION, INC.",COCKTAILS AT THE CONSERVATORY,LS,BWL,"Beer, Wine, & Liquor",See Permit 2015-110,21217
11/04/2015,11/14/2015,11/15/2015,64168,$50.00,"SECOND CHANCE, INC.",Dance,LS,BWL,"Beer, Wine, & Liquor",1400 Warner St,21230
11/04/2015,11/07/2015,11/08/2015,64167,$50.00,"SECOND CHANCE, INC.",Dance,LS,BWL,"Beer, Wine, & Liquor",1400 Warner St,21230
11/06/2015,11/04/2015,11/05/2015,64175,$50.00,Independent Television World Inc,Sunday Brunch,LS,BWL,"Beer, Wine, & Liquor",400 E Saratoga Street,21202
11/10/2015,11/19/2015,11/20/2015,64177,$25.00,"MARYLAND ART PLACE, INC.",Bmore Beat Club,WS,BW,Beer & Wines,218 W. Saratoga St,21201
11/30/2015,12/01/2015,12/07/2015,64201,$300.00,"Waterfront Partnership of Baltimore, Inc.",German Christmas Village,LS,BWL,"Beer, Wine, & Liquor",See Permit ROW2015-SE1010580,21230
12/07/2015,12/12/2015,12/13/2015,64216,$25.00,"MARYLAND ART PLACE, INC.",Under $500,WS,BW,Beer & Wines,218 W. Saratoga St,21201
12/07/2015,12/10/2015,12/13/2015,64217,$75.00,"MARYLAND ART PLACE, INC.",Under $500,WS,BW,Beer & Wines,218 W. Saratoga St,21201
12/07/2015,12/21/2015,12/28/2015,64221,$350.00,"Waterfront Partnership of Baltimore, Inc.",German Christmas Village,LS,BWL,"Beer, Wine, & Liquor",See Permit ROW2015-SE1010580,21230
11/18/2015,12/01/2015,12/02/2015,64187,$50.00,Reading Partners,Makeway For Readers,LS,BWL,"Beer, Wine, & Liquor",1200 Steuart St (Silo Point),21230
11/18/2015,12/01/2015,12/02/2015,64187,$50.00,Reading Partners,Makeway For Readers,LS,BWL,"Beer, Wine, & Liquor",1200 Steuart St (Silo Point),21230
12/15/2015,12/19/2015,12/20/2015,64242,$25.00,"CELTIC STAR, INC.",Celtic Solstice,WS,BW,Beer & Wines,See Permit ROW2015-SE1009607,21210
12/27/2016,01/14/2017,01/15/2017,64795,$25.00,"BALTIMORE ROTARY FOUNDATION, INCORPORATED",96th Annual Oyster Roast,WS,BW,Beer & Wines,219 29TH DIVISION STREET,21201
12/28/2016,01/15/2017,01/16/2017,64797,$25.00,CODE IN THE SCHOOLS INC.,Fundraiser,WS,BW,Beer & Wines,2640 ST. PAUL ST.,21218
01/04/2017,01/08/2017,01/09/2017,64802,$25.00,"BALTIMORE KICKERS, INC.",Monthly Meeting,WS,BW,Beer & Wines,400 E. Lexington Street,21044
01/04/2017,01/04/2017,01/09/2017,64803,$250.00,"The Art Room Development, Inc.",Fundraiser,LS,BWL,"Beer, Wine, & Liquor",2101 MARYLAND AVE ,21218
01/05/2017,01/29/2017,01/30/2017,64804,$25.00,ST. FRANCIS OF ASSISI CHURCH,Ouster Roast,WS,BW,Beer & Wines,3615 Harford Rd,21218
01/05/2017,02/03/2017,02/04/2017,64805,$25.00,ST. FRANCIS OF ASSISI CHURCH,The Races,WS,BW,Beer & Wines,3615 Harford Rd,21218
01/06/2017,01/07/2017,01/08/2017,64806,$50.00,"ARENA PLAYERS, INC.",Rodney O's Birthday Part,LS,BWL,"Beer, Wine, & Liquor",801 MCCULLOH STREET,21202
01/06/2017,01/07/2017,01/08/2017,64807,$50.00,"CARIBBEAN CULTURAL ASSOCIATION OF BALTIMORE, INC.",Birthday Party,LS,BWL,"Beer, Wine, & Liquor",3125 W. BELVEDERE AVENUE,21215
01/18/2017,01/19/2017,01/23/2017,,,"The Art Room Development, Inc.",,LS,BWL,"Beer, Wine, & Liquor",2101 MARYLAND AVE,21218
01/20/2017,01/29/2017,01/30/2017,,,"BMORE TOGETHER, INC.",,WS,BW,Beer & Wines,See Permit TMP2017-00006,21211
01/20/2017,01/28/2017,01/29/2017,,,Saint Mary of the Assuumption,,WS,BW,Beer & Wines,5502 York Rd,21212
01/20/2017,01/20/2017,01/21/2017,,," THE JAMAICAN ASSOCIATION OF MARYLAND, INC.",,WS,BW,Beer & Wines,4229 YORK RD,21212
01/23/2017,01/29/2017,01/30/2017,,,"THE HUMANE SOCIETY OF BALTIMORE COUNTY, INC",,LS,BWL,"Beer, Wine, & Liquor",See Permit TMP2017-00007,21211
01/23/2017,01/28/2017,01/29/2017,,,"Fusion Partnerships, Inc.",,WS,BW,Beer & Wines,2640 ST. PAUL STREET,21218
01/24/2017,02/25/2017,02/26/2017,,,"THE VILLAGE LEARNING PLACE, INC.",,WS,BW,Beer & Wines,2801 N. CHARLES ST.,21218
01/25/2017,01/27/2017,01/28/2017,,,"Columbus Celebrations, Inc.",,LS,BWL,"Beer, Wine, & Liquor",5625 O'Donnell Street,21224
01/25/2017,01/27/2017,01/28/2017,,,"Columbus Celebrations, Inc.",,LS,BWL,"Beer, Wine, & Liquor",5625 O'Donnell Street,21224
01/25/2017,01/25/2017,01/29/2017,,,"The Art Room Development, Inc.",,LS,BWL,"Beer, Wine, & Liquor",2101 MARYLAND AVE,21218
01/25/2017,01/25/2017,01/29/2017,,,"The Art Room Development, Inc.",,LS,BWL,"Beer, Wine, & Liquor",2101 MARYLAND AVE,21218
01/26/2017,01/27/2017,01/29/2017,,," THE JAMAICAN ASSOCIATION OF MARYLAND, INC.",,WS,BW,Beer & Wines,4229 YORK RD,21212
01/26/2017,01/27/2017,01/29/2017,,," THE JAMAICAN ASSOCIATION OF MARYLAND, INC.",,WS,BW,Beer & Wines,4229 YORK RD,21212
01/31/2017,02/24/2017,02/25/2017,,,University of Baltimore Students for Public Interest,,WS,BW,Beer & Wines,1401 N. Charles Street,21201
01/31/2017,02/24/2017,02/25/2017,,,University of Baltimore Students for Public Interest,,WS,BW,Beer & Wines,1401 N. Charles Street,21201
01/31/2017,02/10/2017,02/11/2017,,, THE GREEK ORTHODOX CATHEDRAL OF THE ANNUNCIATION,,LS,BWL,"Beer, Wine, & Liquor",24-25 W. Preston Street,21201
02/01/2017,02/12/2017,02/13/2017,,,"Baltimore Homeless Union , Inc",,LS,BWL,"Beer, Wine, & Liquor",4801 LIBERTY HEIGHTS AVENUE,21207
02/02/2017,02/02/2017,02/03/2017,,,"BALTIMORE KICKERS, INC.",,LS,BWL,"Beer, Wine, & Liquor",400 E. LEXINGTON ST.,21202
02/02/2017,02/05/2017,02/06/2017,,,"BALTIMORE KICKERS, INC.",,WS,BW,Beer & Wines,400 E. LEXINGTON ST.,21202
02/02/2017,02/02/2017,02/03/2017,,,"BALTIMORE KICKERS, INC.",,LS,BWL,"Beer, Wine, & Liquor",400 E. LEXINGTON ST.,21202
02/02/2017,02/25/2017,02/26/2017,,,"MOUNT ST. JOSEPH'S COLLEGE, INCORPORATED",,LS,BWL,"Beer, Wine, & Liquor",4403 Fredrick Ave,21229
02/03/2017,02/03/2017,02/04/2017,,,"Root & Culture, Inc.",,WS,BW,Beer & Wines,4229 YORK ROAD,21218
02/03/2017,02/10/2017,02/11/2017,,,"Root & Culture, Inc.",,WS,BW,Beer & Wines,4229 YORK ROAD,21218
02/03/2017,02/09/2017,02/10/2017,,,"COPPIN STATE COLLEGE DEVELOPMENT FOUNDATION, INC.",,LS,BWL,"Beer, Wine, & Liquor",2500 NORTH AVENUE WEST,21216
02/03/2017,02/12/2017,02/13/2017,,,"COPPIN STATE COLLEGE DEVELOPMENT FOUNDATION, INC.",,WS,BW,Beer & Wines,2500 NORTH AVENUE WEST,21216
02/03/2017,02/12/2017,02/13/2017,,,"COPPIN STATE COLLEGE DEVELOPMENT FOUNDATION, INC.",,WS,BW,Beer & Wines,2500 NORTH AVENUE WEST,21216
02/08/2017,02/25/2017,02/26/2017,,,Saint Nicholas Greek Orthodox Church,,LS,BWL,"Beer, Wine, & Liquor",520 S. PONCA ST.,21224
02/08/2017,02/18/2017,02/19/2017,,,Arena Players Inc.,,LS,BWL,"Beer, Wine, & Liquor",801 MCCULLOH STREET,21202
02/08/2017,02/12/2017,02/13/2017,,,Arena Players Inc.,,LS,BWL,"Beer, Wine, & Liquor",801 MCCULLOH STREET,21202
02/08/2017,02/11/2017,02/12/2017,,,Remington Wine Company,,WS,BW,Beer & Wines,329 W. 29th Street,21211
02/08/2017,02/11/2017,02/12/2017,,,Remington Wine Company,,WS,BW,Beer & Wines,329 W. 29th Street,21211
02/09/2017,02/18/2017,02/19/2017,,,"Icing Smiles, Inc.",,LS,BWL,"Beer, Wine, & Liquor",10 ART MUSEUM DRIVE,21218
02/09/2017,02/09/2017,02/10/2017,,,Maryland Art Place (M.A.P),,LS,BWL,"Beer, Wine, & Liquor",218 W. SARATOGA STREET,21201
02/10/2017,02/11/2017,02/12/2017,,,"BALTIMORE ROCK OPERA SOCIETY, INC.",,LS,BWL,"Beer, Wine, & Liquor",See Permit TMP2017-00013,21201
02/10/2017,02/11/2017,02/12/2017,,,Occasional Symphony,,WS,BW,Beer & Wines,1830 E. Monument Street,21205
